STATION,LAT,LON,ALTITUDE,TEMP,MAXTEMP,MINTEMP,CLOUD,RAIN
Aach,47.8413,8.8493,478,8.2,13.1,3.5,,755
Aachen,50.7827,6.0941,202,9.8,NULL,6.3,67,820
Großenkneten,52.9335,8.237,44,9.2,13.2,5.4,67,759
Albstadt-Badkap,48.2156,8.9784,759,7.4,12.2,3.3,66,919
Aldersbach-Kriestorf,48.6159,13.0506,340,8.4,13.4,3.9,65,790
Alfhausen,52.4853,7.9126,65,9.3,13.4,5.2,67,794
Alsfeld-Eifa,50.7446,9.345,300,8.2,12.7,4.1,72,657
Altglashütte,49.7725,12.3891,750,5.7,9.2,2.7,64,915
Altomünster-Maisbrunn,48.406,11.3117,510,8,13,3.7,66,862
Alzey,49.7273,8.1164,215,9.5,13.8,5.3,65,526
Amberg-Unterammersricht,49.4691,11.8546,383,7.9,12.5,3.6,66,690
Angermünde,53.0316,13.9907,54,8.4,12.9,4.3,68,531
Anklam,53.8412,13.6846,9,8.1,13.1,5.1,62,553
Annaberg-Buchholz,50.573,13.0053,630,6.4,10.6,2.9,66,902
Ansbach,49.2964,10.5751,413,7.5,12.2,3.3,65,681
Arkona,54.6792,13.4343,42,8.2,10.6,6,66,543
Arnis,54.6289,9.9294,3,8,11.7,5.1,63,726
Arnsberg,51.3773,8.0713,218,8.6,12.9,4.5,69,965
Arnstein-Müdesheim,49.9695,9.9113,220,9.4,14.7,4.4,64,636
Arolsen-Neu Berich,51.3845,9.082,232,8.2,12.1,3.6,70,700
Artern,51.3745,11.292,164,9,13.4,5,69,478
Aschaffenburg,49.9778,9.1114,110,8.9,14,4.3,63,670
Attenkam,47.8774,11.3642,672,7.8,12.7,3.5,63,1089
Aue,50.5907,12.714,387,8.1,13.2,4.3,69,803
Augsburg (Sankt Stephan),48.3723,10.8948,490,8.1,12.5,4.2,61,822
Augsburg,48.4254,10.942,461,8.3,12.9,4,67,785
Aurich,53.4621,7.467,4,8.5,12.4,4.9,72,832
Baden-Baden-Geroldsau,48.727,8.2458,240,9.6,14.3,5.4,65,1151
Müllheim,47.8064,7.6387,273,9.7,14,5.9,63,954
Bamberg,49.8742,10.9206,240,8.9,13.8,4.2,68,638
Bamberg (Sternwarte),49.88,10.88,282,8.3,13.2,4.1,68,639
Barth,54.3406,12.7108,3,8.2,11.8,4.8,67,625
Kubschütz. Kr. Bautzen,51.1605,14.5037,232,8.7,12.7,4.9,70,633
Heinersreuth-Vollhof,49.9667,11.5197,350,7.8,12.8,3.4,67,685
Bederkesa,53.6234,8.8323,27,8.5,12.2,5.1,67,903
Beerfelden,49.5617,8.9673,450,8.3,12.2,4.9,72,1061
Bensheim,49.6789,8.6276,140,10.1,14.5,6,63,794
